pk (S),sk (S),customer_id (N),helpful_votes (N),review_body (S),review_headline (S),sentiment (S),star_rating (N),total_votes (N),verified_purchase (S),vine (S),marketplace (S),product_category (S),product_parent (N),product_title (S),positive,mixed,negative,neutral
B00000J3VN,2000-09-07#R1SZB6FRQWT56P,51742703,8,"We bought this camera in June and have taken several rolls of fim  since-trying it out for a trip to Ireland in a few days....so far, I like  it a lot.  I do wish the instruction booklet wasn't printed in every  language known to man....it makes it hard to find what you're looking for  fast.  I came to this site today to find what kind of battery to buy-I  swear I couldn't locate that info in the booklet!  (Could just be me,  tho'!)  At any rate, I would recommend this camera-it's so light-just  perfect for travel.",A great little camera!,,4,8,N,N,,,,,,,,
B00000J3VN,2000-09-07#R1SZB6FRQWT56P#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00000J3VN,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,204764250,Olympus iZoom 75 Ultra Compact APS Camera,,,,
B00000J3VN,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,10,7,1,20
B00000J48G,2000-09-06#R3SLYZLT4PTM5B,50586349,7,"I am a commercial Artist / Illustrator and I needed a good quality,  inexpensive digital camera for my daily work. I have (hands on) tested,  cameras from $49.99 to over $2,000.00 and I found the Polaroid PDC640 to be  the best for the money.<br />Simple down load to computer.  However, if I  didn't have a computer, I'd want a more expensive camera for the  extras.<br />Would recommend giving as a gift to anyone who didn't have a  digital camera. Did not experience the battery problems as reported by  others, even though I use mine on a daily basis.<br />Thanks Polaroid for  making a quality product at a reasonable price that I can use daily in my  work.",Best camera for the bucks,,4,7,N,N,,,,,,,,
B00000J48G,2000-09-06#R3SLYZLT4PTM5B#SENTIMENT,,,,,POSITIVE,,,,,,,,,,,,
B00000J48G,2099-12-31#PRODUCTSUMMARY,,,,,,,,,,US,Camera,528766826,Polaroid PDC-640 0.3MP Digital Camera Creative Kit,,,,
B00000J48G,2099-12-31#REVIEWSUMMARY,,,,,,,,,,,,,,42,6,3,14
B00004R8V6,2000-09-07#RBAGJL4Y6GRG5,50584198,13,"First off, buy several rechargeable batteries when you get this camera! As  soon as I got mine, we played around with it off-n-on for no more than 3 or  4 hours before the brand-new alkaline batteries were useless. Flashes and  the built-in monitor really suck 'em dry.<br />Now, besides that, the Olympus  D-360L is my first digital camera. Now I'm not really great at taking  pictures, so I put most of the settings on &quot;auto&quot; and hope that I  can Photoshop them into looking better later on. The picture quality is  good overall, but if you want any sort of details captured, you'll have to  use the largest pixel size available, and zoom in, too. So forget about  trying to get those great concert shots from 25 rows back. Most of my work  is on the internet, so it's great for web publishing, but I doubt that  these pics would look that great if they were printed out -- but I haven't  really tried yet, either.<br />The compact design is quite good, so I can't  believe some other reviewer here said that his fell apart after a week. I  know I've carried mine around in my rough-n-tumble book bag for weeks on  end, and it hardly has a scratch on it. If you want to change the camera's  settings, there's a lot of button pushing to change the shutter,  white-balance, and image file size options. My friends have gotten quite  tired of posing and waiting for me to switch around to larger sizes, or to  zoom in, or to take the picture over again because I flashed when I didn't  want to. And there's a slight delay between when I've pushed the button and  when the camera takes the pic. &quot;Capturing the moment&quot; often takes  a couple mintues to prepare. Also, the pictures I've taken often look  fantastic on the LCD monitor, but are fuzzy when I download  them.<br />Downloading is a snap ... sort of. Just install the software once,  then hook the cable up to your serial port and ... wait. It takes several  minutes to download multiple pictures. Heck, it even takes a while just to  view all the thumbnails in the editor. The editing software included is  okay, but it's no Photoshop.<br />The very first weekend I had it, I went to a  crazy drunken club party and took lots of pictures of people dancing around  in an altered haze. Surprisingly, most of the photos came out great -- very  fun and colorful -- except when the flash goes off, people often have red  eye (which is fixable through adjustments) or if they are close to the  camera the flash washed them out like white ghosts. And if I didn't use the  flash, then they came out smeared because the shutter was open too long  since it was compensating for the missing light. It definitely takes some  learned skill to get great shots on the fly.<br />In comparison, though, for  the price you pay here, you are getting a really good deal with this handy  little device. The low-light photos are a bit grainy but quite bright  considering a normal camera would show the same situation as nothing but  black. I haven't yet figured out how to get it to take pictures so that it  looks darkly lit on purpose; it always seems to automatically compensate.  Also, the multi-photo &quot;panoramic&quot; option and the &quot;action  sequence&quot; modes are fun to play with, but not necessarily going to be  useful to me in the long run. On one 8mb card, you can fit about 16 big  files, but tons of little photos. And remember, rechargeables,  rechargeables, rechargeables!","Good pictures, Good size, Great memory, Battery hog!",,4,13,N,N,,,,,,,,
B00004R8V6,2000-09-07#RBAGJL4Y6GRG5#SENTIMENT,,,,,NEGATIVE,,,,,,,,,,,,
